label,image_intensity,area,integrated_density
1,"[[-0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 ...
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]]",1312.0,333.60358
2,"[[ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0. -0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 ...
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]]",1748.0,479.2276
3,"[[ 0.  0.  0. ...  0.  0. -0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 ...
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0. -0.  0.]]",1729.0,493.6481
4,"[[ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0. -0. ...  0.  0.  0.]
 ...
 [ 0.  0.  0. ...  0.  0. -0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]]",1351.0,278.0109
5,"[[ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 ...
 [ 0.  0.  0. ...  0. -0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]]",1185.0,283.68982
6,"[[ 0.  0.  0. ...  0.  0. -0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 ...
 [-0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [-0. -0.  0. ...  0.  0.  0.]]",1932.0,532.4016
7,"[[ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ... -0.  0.  0.]
 [ 0.  0.  0. ... -0.  0.  0.]
 ...
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]]",1802.0,307.5425
8,"[[ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 ...
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ... -0.  0.  0.]]",1992.0,567.18445
9,"[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",1343.0,265.6629
10,"[[ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 ...
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ... -0.  0.  0.]
 [ 0.  0. -0. ...  0.  0.  0.]]",1403.0,258.6514
11,"[[ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0. -0. ...  0.  0.  0.]
 ...
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]]",2294.0,612.8067
12,"[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",2531.0,611.6629
13,"[[0.1509951  0.22614145 0.17121184 0.15034169 0.17356639 0.
  0.         0.         0.         0.        ]
 [0.25298452 0.15914743 0.21766892 0.12529883 0.13130075 0.14604808
  0.1427407  0.         0.         0.        ]
 [0.1906826  0.18064985 0.19316328 0.15812795 0.1296678  0.18358923
  0.18092059 0.14279406 0.         0.        ]
 [0.2330056  0.22576745 0.20604186 0.17178504 0.17473966 0.16941653
  0.25958487 0.1253237  0.14860074 0.        ]
 [0.20905294 0.22684588 0.16789488 0.19119395 0.20140816 0.13825533
  0.20263289 0.18243816 0.19718115 0.        ]
 [0.23384807 0.22262101 0.16453381 0.22703993 0.19727735 0.21295848
  0.21309857 0.21596074 0.20636097 0.        ]
 [0.27472082 0.25065765 0.24280998 0.1626327  0.15935716 0.14210568
  0.12871484 0.19611563 0.20388494 0.11626686]
 [0.20584488 0.19922571 0.23191509 0.22617035 0.21972382 0.24345975
  0.18370534 0.19908664 0.16309416 0.13148858]
 [0.263023   0.27316588 0.21173047 0.2339869  0.22082122 0.18186739
  0.17672928 0.16881904 0.1680281  0.16638362]
 [0.26437834 0.23882622 0.20412411 0.24925715 0.20154768 0.1966228
  0.16682698 0.179255   0.18085437 0.10044761]
 [0.27829584 0.25720942 0.21138394 0.27343702 0.25195712 0.19070165
  0.22607043 0.14209718 0.14361674 0.14667644]
 [0.27768165 0.23455758 0.23022343 0.2815441  0.19396147 0.1784098
  0.2034881  0.21671048 0.2204807  0.        ]
 [0.22696266 0.18181983 0.2887481  0.27045172 0.18030314 0.2698697
  0.24891375 0.21544327 0.1649922  0.        ]
 [0.30015376 0.23084147 0.24264385 0.23844747 0.16150537 0.20063776
  0.13387859 0.17537838 0.15106541 0.        ]
 [0.24590234 0.22116968 0.24005015 0.24045557 0.20160617 0.23138563
  0.20314284 0.18067406 0.         0.        ]
 [0.26010117 0.23811209 0.27292636 0.20015715 0.19868952 0.20633452
  0.1739094  0.15466186 0.         0.        ]
 [0.2592859  0.19737545 0.20860156 0.23082857 0.19752124 0.18429461
  0.17385516 0.         0.         0.        ]
 [0.21820948 0.20856081 0.19514945 0.17149562 0.11201118 0.11226359
  0.17631721 0.         0.         0.        ]
 [0.22968486 0.22155133 0.12597194 0.17897189 0.17194532 0.15068346
  0.         0.         0.         0.        ]
 [0.16722488 0.1660228  0.2050546  0.20135868 0.19996251 0.
  0.         0.         0.         0.        ]
 [0.14218934 0.19072859 0.13289884 0.         0.         0.
  0.         0.         0.         0.        ]]",168.0,33.29944
14,"[[ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0. -0.]
 ...
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]]",1858.0,402.84723
15,"[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",1360.0,267.04086
16,"[[ 0.  0.  0. ...  0.  0.  0.]
 [ 0. -0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 ...
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]]",1331.0,267.72922
17,"[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",1175.0,281.5721
18,"[[ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0. -0. ...  0.  0.  0.]
 [-0.  0.  0. ...  0. -0.  0.]
 ...
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]]",2599.0,591.6251
19,"[[ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 ...
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0. -0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]]",1470.0,279.9541
20,"[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",1525.0,280.96985
21,"[[ 0. -0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 ...
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]]",1454.0,266.94452
22,"[[ 0. -0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 ...
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]]",1466.0,273.03748
23,"[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",1111.0,279.05414
24,"[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",1377.0,260.6316
25,"[[ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0. -0.]
 [ 0.  0.  0. ...  0.  0. -0.]
 ...
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]]",1601.0,488.7517
26,"[[ 0. -0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 ...
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0. -0.]]",1293.0,283.33746
27,"[[ 0.  0.  0. ...  0. -0. -0.]
 [ 0.  0.  0. ...  0.  0. -0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 ...
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]]",1331.0,281.62445
28,"[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",1202.0,275.62335
29,"[[ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 ...
 [ 0.  0.  0. ...  0.  0.  0.]
 [-0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]]",3470.0,697.3052
30,"[[ 0.  0.  0. ...  0.  0. -0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 ...
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]]",1696.0,460.20215
31,"[[ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0. -0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 ...
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0. -0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]]",1154.0,284.0063
32,"[[ 0.  0.  0. ... -0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 ...
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]]",1583.0,519.9126
33,"[[ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 ...
 [-0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]]",1242.0,307.5608
34,"[[ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 ...
 [ 0.  0.  0. ...  0.  0.  0.]
 [-0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]]",1463.0,274.1391
35,"[[ 0.  0. -0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 ...
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]]",1246.0,303.4958
36,"[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",1503.0,298.93207
37,"[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",1412.0,282.6721
38,"[[ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 ...
 [ 0.  0.  0. ...  0. -0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]]",1565.0,311.30402
39,"[[ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 ...
 [-0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]]",1348.0,296.15143
40,"[[0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.15891045 0.16429575
  0.20646676 0.1395102  0.16945934 0.20878267 0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.15216398 0.13408843 0.14047447 0.1614266  0.14083001
  0.17621584 0.10290486 0.1754089  0.11700097 0.18016356 0.09500622
  0.13259183 0.12376273 0.         0.         0.         0.
  0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.16075191 0.22051673 0.11858106 0.13261744 0.17534083 0.14181325
  0.1280862  0.13305412 0.18000315 0.12424624 0.19322525 0.17040305
  0.15227984 0.11868069 0.12409481 0.07527959 0.         0.
  0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.14907447
  0.21673658 0.15590388 0.17318295 0.20498213 0.19227445 0.1988291
  0.17563932 0.09845815 0.26120788 0.25406763 0.2943739  0.21064495
  0.2122331  0.19911194 0.1704756  0.13611071 0.12245912 0.
  0.         0.         0.        ]
 [0.         0.         0.         0.         0.17212084 0.16385299
  0.21843797 0.18337354 0.19328463 0.26156032 0.21916822 0.24943706
  0.21241413 0.32458195 0.26208088 0.31966534 0.34439823 0.35518938
  0.4337813  0.373291   0.32739803 0.22076869 0.14957085 0.08835271
  0.         0.         0.        ]
 [0.         0.         0.         0.0939929  0.08777706 0.22791287
  0.19113907 0.32659143 0.33860102 0.4498977  0.45049068 0.33517474
  0.40627375 0.3937755  0.44313356 0.46248615 0.5450215  0.5430711
  0.5800061  0.55242133 0.37039214 0.26820394 0.11901951 0.18389952
  0.         0.         0.        ]
 [0.         0.         0.09220502 0.10936531 0.18282908 0.17204347
  0.32865626 0.40160206 0.5137538  0.54465586 0.5872203  0.57957363
  0.59508276 0.51801085 0.6594114  0.705627   0.7258735  0.70376825
  0.7129454  0.6897384  0.47997674 0.43091887 0.30068585 0.14878416
  0.11293405 0.         0.        ]
 [0.         0.         0.09881733 0.20203139 0.27084672 0.3518006
  0.43555152 0.48063338 0.5933627  0.7103596  0.72244203 0.6947523
  0.7154963  0.7015731  0.7497967  0.8175881  0.83971554 0.8997623
  0.8605485  0.7702189  0.62022454 0.4614156  0.33454925 0.17982297
  0.1725381  0.15864697 0.        ]
 [0.         0.11473064 0.179195   0.26565027 0.3750785  0.469651
  0.5438045  0.6868575  0.685679   0.8081136  0.78416246 0.83003205
  0.827477   0.8315478  0.8693525  0.9297777  1.0494559  0.9973355
  0.94098043 0.7770367  0.68284583 0.54785335 0.386504   0.24830793
  0.17818198 0.10097384 0.        ]
 [0.         0.09243932 0.21034858 0.31578323 0.41205505 0.5336473
  0.6611344  0.76619375 0.81714857 0.89078045 0.8173777  0.8384719
  0.8658303  0.8182018  0.94874597 1.0681392  1.1333082  1.0372531
  0.99933213 0.8767415  0.7403542  0.5958049  0.43720096 0.33407223
  0.16571209 0.19643122 0.        ]
 [0.         0.10372933 0.21158676 0.34715772 0.38574558 0.60186535
  0.65713215 0.79097277 0.86654586 0.8467035  0.8725798  0.9213092
  0.9472191  0.9592406  0.9182974  1.0637915  1.1399263  1.1018673
  0.97696584 0.88855606 0.76028085 0.5886722  0.5655234  0.37118375
  0.2628041  0.1977378  0.19106303]
 [0.13574007 0.18237475 0.20879677 0.3231173  0.4465743  0.5676124
  0.7126267  0.8544554  0.86541176 0.9094253  0.85569316 0.99528617
  0.98869467 1.0607945  0.9981205  1.1324061  1.1408427  1.0886801
  1.0154685  0.8397296  0.8029863  0.73047525 0.53977823 0.3623803
  0.3157369  0.17974353 0.13154688]
 [0.1384872  0.16316539 0.20737292 0.3455914  0.4567182  0.6327943
  0.70969725 0.85152024 0.8131949  0.84182215 0.92578256 0.92729187
  1.0466664  1.1167347  1.0590105  1.1016386  1.046099   1.0449167
  0.96831864 0.8973848  0.7802494  0.72265166 0.52785957 0.42991215
  0.31523588 0.17235781 0.16330168]
 [0.         0.18454045 0.23891823 0.33168596 0.4370438  0.52217907
  0.6288823  0.7834406  0.8319106  0.82995605 0.90080214 0.93140733
  1.0116665  1.1487775  1.1953157  1.1648161  1.075551   1.0254338
  0.90983367 0.8876194  0.8803516  0.73815686 0.56923914 0.46379957
  0.30776712 0.21092188 0.11525712]
 [0.         0.08080255 0.21468289 0.32757318 0.4933942  0.6011121
  0.7242437  0.6921808  0.80046356 0.82471913 0.7987053  0.8295406
  0.9636935  1.0890706  1.1408064  1.1995891  1.0816597  1.0044255
  0.91313505 0.8935311  0.85551506 0.67749083 0.54983246 0.43711582
  0.33794636 0.22015373 0.12288973]
 [0.         0.12008833 0.15380162 0.21082783 0.3574665  0.59579086
  0.57915306 0.652596   0.76196605 0.7245552  0.76053655 0.810197
  0.9205152  1.048752   1.1280887  1.1157598  1.0329599  0.98263764
  0.84776086 0.8562047  0.781033   0.6516499  0.51968974 0.44579804
  0.33724573 0.21350725 0.13370258]
 [0.         0.11256871 0.15309873 0.25180972 0.36744606 0.5171249
  0.6315878  0.6001705  0.6224137  0.72067314 0.6855996  0.7500525
  0.85978574 0.9694025  1.1666224  1.1189624  1.0339812  0.97270125
  0.9239494  0.8192706  0.7738788  0.6749336  0.59531605 0.4776662
  0.34285864 0.16912581 0.17608461]
 [0.         0.12465066 0.1003386  0.25570226 0.29226768 0.40102896
  0.47554034 0.5588732  0.5519354  0.6227677  0.59920603 0.72294366
  0.8663701  0.992889   1.1392132  1.1151694  1.0584277  0.99277365
  0.8777456  0.77416754 0.7553563  0.58646965 0.5113511  0.44791374
  0.35582566 0.15960579 0.13377951]
 [0.         0.         0.10627864 0.16795008 0.24269226 0.30525586
  0.4041477  0.5045805  0.5516531  0.58597654 0.6276705  0.65247935
  0.83449674 0.976573   1.0801007  1.0659984  1.0783652  0.9488521
  0.9332843  0.731345   0.7244067  0.64155793 0.5698407  0.48199373
  0.2917387  0.21853925 0.13346785]
 [0.         0.         0.1639941  0.14771876 0.25921702 0.31700152
  0.4059486  0.446048   0.4876333  0.6289526  0.6270102  0.643
  0.7695077  0.9391942  0.9316863  1.0408936  1.0538734  1.0298121
  0.85570794 0.7556876  0.66352844 0.59385514 0.50542474 0.4410223
  0.30892324 0.21628344 0.09536012]
 [0.         0.         0.         0.19284046 0.16226213 0.27707946
  0.4203366  0.5458357  0.5675313  0.62411904 0.7141184  0.65258193
  0.77499515 0.7743098  0.9267161  0.96330893 0.96377176 0.9426656
  0.9181546  0.7357021  0.6685096  0.515506   0.5219014  0.46846965
  0.3160471  0.19511747 0.12806678]
 [0.         0.         0.         0.14853925 0.14329305 0.22868423
  0.3078153  0.4438612  0.55117774 0.6105025  0.7119231  0.7292638
  0.7396431  0.744087   0.7922838  0.9397921  0.94985664 0.8806406
  0.86053705 0.70680165 0.646362   0.51799494 0.4038502  0.3036737
  0.22170646 0.14476022 0.09800114]
 [0.         0.         0.         0.06209056 0.1839557  0.18063492
  0.31895772 0.42369497 0.5081712  0.6390128  0.72990257 0.7659271
  0.7781369  0.8005877  0.80626667 0.90095514 0.9141499  0.8270615
  0.78753746 0.6841441  0.617431   0.43164024 0.31354937 0.19444658
  0.1563452  0.12131117 0.14646828]
 [0.         0.         0.         0.         0.11540624 0.20698774
  0.21844806 0.31592554 0.47331682 0.6124615  0.6797171  0.7478132
  0.6897674  0.7721663  0.8128605  0.8413018  0.8776445  0.76683074
  0.6159032  0.59727544 0.5157064  0.37002477 0.26094666 0.21080336
  0.19825721 0.17277086 0.        ]
 [0.         0.         0.         0.         0.12268456 0.16879417
  0.16512059 0.25992417 0.3607283  0.46767145 0.5895862  0.6449553
  0.7534536  0.7841072  0.7113764  0.746788   0.72700065 0.736187
  0.55453396 0.49025083 0.35421002 0.3196733  0.24306208 0.17141333
  0.14157085 0.10406068 0.        ]
 [0.         0.         0.         0.         0.         0.14027068
  0.15233648 0.2448237  0.29079878 0.41398028 0.49333698 0.5837405
  0.5319031  0.64670074 0.6480511  0.6535393  0.6682395  0.6064088
  0.47675797 0.3628101  0.2792476  0.21643318 0.180049   0.14328632
  0.11130556 0.         0.        ]
 [0.         0.         0.         0.         0.         0.16890246
  0.12750784 0.18922347 0.20436418 0.29358995 0.3853886  0.3894283
  0.48618764 0.61308616 0.5860767  0.5198584  0.5219584  0.48236892
  0.3933397  0.25415224 0.25053573 0.20475233 0.21708713 0.19127637
  0.1747668  0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.12976876 0.15888187 0.14217891 0.2005051  0.22872365 0.31090283
  0.36155668 0.41683993 0.48158085 0.34556425 0.31003097 0.28617448
  0.24815142 0.22489843 0.18917951 0.18658262 0.17861053 0.16897635
  0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.16373104 0.19466925 0.19195859 0.20535323 0.24332196
  0.26463273 0.3086009  0.3068849  0.31324902 0.23240441 0.28699285
  0.25525883 0.2272548  0.20219377 0.1312379  0.17111373 0.
  0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.1255118  0.13210805 0.17724533 0.19395463
  0.2264805  0.20473824 0.33123446 0.26614678 0.17570719 0.21625933
  0.20716421 0.19142921 0.15843315 0.11541324 0.         0.
  0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.11154488 0.09465469 0.17326543
  0.19191685 0.23506404 0.09257534 0.18996304 0.24074128 0.23473479
  0.18901417 0.079172   0.0786405  0.         0.         0.
  0.         0.         0.        ]
