label,image_intensity,area,integrated_density
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.13930047
  0.16702366 0.13061419 0.19673608 0.13341811 0.1502564  0.2187545
  0.14174885 0.16390136 0.         0.         0.         0.
  0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.14426467 0.1779276  0.13026197 0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.        ]]",679.0,333.404
41,"[[ 0.  0.  0. ...  0.  0.  0.]
 [-0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 ...
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0. -0.]]",1224.0,288.7355
42,"[[ 0.  0.  0. ...  0.  0. -0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 ...
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0. -0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]]",1579.0,518.36676
43,"[[ 0.  0. -0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 ...
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]]",1791.0,567.6837
44,"[[-0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 ...
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]]",1351.0,282.1516
45,"[[ 0.  0.  0. ...  0. -0. -0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 ...
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]]",1650.0,511.258
46,"[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",1287.0,330.41522
47,"[[ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0. -0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 ...
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]]",1437.0,261.67514
48,"[[ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0. -0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 ...
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]]",1652.0,328.69928
49,"[[ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0. -0.  0. ...  0.  0.  0.]
 ...
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]]",1463.0,394.9804
50,"[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",1415.0,299.58063
51,"[[0.1717623  0.13833947 0.         0.         0.         0.
  0.         0.         0.         0.        ]
 [0.22234091 0.15849216 0.15509474 0.16439691 0.         0.
  0.         0.         0.         0.        ]
 [0.21613188 0.17984691 0.12224688 0.09838116 0.17740661 0.20539235
  0.         0.         0.         0.        ]
 [0.16340862 0.197662   0.16135119 0.19094715 0.17931205 0.1284777
  0.19495678 0.         0.         0.        ]
 [0.17560846 0.13354897 0.16470473 0.22265089 0.20781869 0.1294537
  0.15770213 0.21852756 0.         0.        ]
 [0.19777225 0.26057482 0.17560816 0.21670894 0.20836507 0.2015193
  0.25900358 0.15786558 0.18548577 0.        ]
 [0.23975188 0.2661222  0.20511845 0.2122196  0.20402074 0.16681728
  0.20794283 0.18857755 0.18068992 0.        ]
 [0.2515488  0.21698308 0.1850745  0.2685384  0.2330846  0.1912997
  0.23851354 0.20851606 0.16770263 0.09453915]
 [0.27282974 0.2735954  0.24203482 0.19617963 0.23746881 0.25647166
  0.18134992 0.22800417 0.13979416 0.1607554 ]
 [0.26244393 0.22821878 0.22308768 0.22493312 0.26760626 0.22612888
  0.21344312 0.19108558 0.15205966 0.14978248]
 [0.23388445 0.2663035  0.2234929  0.25394112 0.22412142 0.23695481
  0.18812172 0.1444565  0.1747822  0.16533265]
 [0.27942425 0.31291723 0.3013583  0.21235132 0.27449942 0.21801488
  0.20540763 0.16058058 0.13637671 0.12922877]
 [0.21180584 0.24589437 0.23449036 0.27479848 0.24518912 0.29000595
  0.23718843 0.19145802 0.17582819 0.13921101]
 [0.20913285 0.21491572 0.2968256  0.2430292  0.22421387 0.25542766
  0.15291181 0.17103253 0.20179383 0.13653763]
 [0.22344337 0.25552845 0.25854895 0.22306731 0.23767206 0.21110632
  0.21092573 0.17510192 0.15519543 0.18563423]
 [0.24569628 0.21926847 0.19313526 0.20483017 0.24001211 0.19972341
  0.14706895 0.14884792 0.14921214 0.11812314]
 [0.17297043 0.26226428 0.25145543 0.21264051 0.24049565 0.19281076
  0.14723395 0.18561059 0.20361423 0.17249429]
 [0.15579946 0.23143682 0.19878265 0.18739279 0.20634724 0.20593102
  0.1529311  0.22085352 0.12436789 0.        ]
 [0.17785272 0.23463793 0.22340992 0.1833977  0.1577791  0.2181333
  0.14313863 0.12321323 0.         0.        ]
 [0.15816851 0.18335728 0.1978952  0.17831776 0.14012834 0.13603374
  0.17502035 0.1597251  0.         0.        ]
 [0.16977654 0.16628426 0.21026391 0.19499463 0.20284201 0.13427801
  0.1830484  0.         0.         0.        ]
 [0.20152047 0.12996352 0.14961225 0.16622189 0.09783565 0.12906852
  0.         0.         0.         0.        ]
 [0.20917763 0.15800393 0.15370236 0.13395333 0.         0.
  0.         0.         0.         0.        ]
 [0.12844966 0.07828923 0.         0.         0.         0.
  0.         0.         0.         0.        ]
 [0.11857294 0.         0.         0.         0.         0.
  0.         0.         0.         0.        ]]",190.0,37.080082
52,"[[ 0.  0.  0. ...  0.  0. -0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 ...
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]]",933.0,188.49377
53,"[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",1809.0,391.55298
54,"[[ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0. -0.]
 ...
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]]",1781.0,485.59528
55,"[[ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 ...
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0. -0. ...  0.  0.  0.]]",1882.0,537.88245
56,"[[ 0. -0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0. -0.  0.]
 ...
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]]",1363.0,289.7218
57,"[[ 0.  0. -0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 ...
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]]",1309.0,284.3703
58,"[[ 0.  0. -0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 ...
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0. -0.  0. ...  0.  0.  0.]]",2063.0,561.8209
59,"[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",1220.0,306.7956
60,"[[ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0. -0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 ...
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0. -0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]]",1502.0,357.69864
61,"[[ 0.          0.          0.14811072 ...  0.          0.
   0.        ]
 [ 0.11734699  0.1799413   0.18016809 ...  0.          0.
   0.        ]
 [ 0.16989905  0.14785434  0.14882718 ...  0.          0.
   0.        ]
 ...
 [-0.          0.          0.         ...  0.          0.
   0.        ]
 [ 0.          0.          0.         ...  0.          0.
   0.        ]
 [ 0.          0.          0.         ...  0.          0.
   0.        ]]",1026.0,202.29375
62,"[[ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [-0.  0.  0. ...  0.  0.  0.]
 ...
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]]",1299.0,298.9021
63,"[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",2397.0,680.2173
64,"[[ 0.  0. -0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 ...
 [ 0.  0.  0. ...  0. -0.  0.]
 [ 0.  0.  0. ...  0.  0. -0.]
 [ 0.  0.  0. ...  0.  0.  0.]]",1420.0,294.82782
65,"[[ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 ...
 [ 0.  0.  0. ...  0.  0.  0.]
 [-0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]]",4093.0,1128.2695
66,"[[-0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 ...
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]]",1825.0,528.0148
67,"[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",2861.0,864.45917
68,"[[ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 ...
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ... -0.  0.  0.]]",1576.0,429.34265
69,"[[ 0.          0.          0.         ...  0.          0.
   0.        ]
 [ 0.          0.          0.         ...  0.          0.
   0.        ]
 [ 0.          0.          0.         ...  0.          0.
   0.        ]
 ...
 [ 0.          0.          0.17473313 ...  0.          0.
   0.        ]
 [ 0.          0.          0.         ... -0.          0.
  -0.        ]
 [ 0.          0.          0.         ...  0.          0.
   0.        ]]",1248.0,298.5516
70,"[[ 0. -0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0. -0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 ...
 [ 0.  0.  0. ...  0.  0.  0.]
